n,time,iters,converged
800,0.020596027374267578,2,1
800,0.017630815505981445,3,1
800,0.014396905899047852,2,1
800,0.01717233657836914,3,1
800,0.016978979110717773,3,1
800,0.02079153060913086,3,1
2048,0.02857804298400879,1,1
800,0.0231173038482666,4,1
2048,0.025563955307006836,1,1
800,0.020674467086791992,3,1
2048,0.03005814552307129,2,1
800,0.014728069305419922,2,1
2048,0.0258636474609375,1,1
800,0.019133567810058594,2,1
2048,0.024520158767700195,1,1
800,0.015447854995727539,2,1
2048,0.028908967971801758,1,1
800,0.01808786392211914,3,1
2048,0.026661157608032227,1,1
800,0.01564168930053711,1,1
2048,0.025321245193481445,1,1
800,0.016562700271606445,1,1
2048,0.02304840087890625,1,1
800,0.016291141510009766,2,1
2048,0.025454998016357422,1,1
800,0.01938176155090332,3,1
2048,0.0232393741607666,1,1
800,0.019958019256591797,3,1
2048,0.02443385124206543,1,1
800,0.013857364654541016,1,1
2048,0.02576923370361328,1,1
800,0.016013383865356445,2,1
2048,0.0253903865814209,1,1
800,0.014263391494750977,1,1
2048,0.024602890014648438,1,1
800,0.017445802688598633,2,1
2048,0.024408817291259766,1,1
800,0.017584562301635742,2,1
2048,0.023749351501464844,1,1
800,0.014668703079223633,2,1
2048,0.025185108184814453,1,1
800,0.021728038787841797,4,1
800,0.017094850540161133,2,1
2048,0.027150392532348633,1,1
800,0.012693643569946289,1,1
2048,0.02563953399658203,1,1
800,0.020016908645629883,3,1
2048,0.023621559143066406,1,1
800,0.017685651779174805,3,1
2048,0.025522708892822266,1,1
800,0.015430688858032227,2,1
2048,0.025343894958496094,1,1
800,0.017213106155395508,2,1
2048,0.03226613998413086,2,1
800,0.019326448440551758,3,1
2048,0.025090456008911133,1,1
800,0.015505313873291016,2,1
2048,0.027024269104003906,1,1
800,0.01636815071105957,2,1
2048,0.024537324905395508,1,1
800,0.017424583435058594,2,1
2048,0.026507854461669922,1,1
800,0.02008795738220215,4,1
2048,0.023185253143310547,1,1
800,0.016782045364379883,2,1
2048,0.0234982967376709,1,1
800,0.020560503005981445,3,1
2048,0.0304567813873291,2,1
800,0.015200614929199219,2,1
2048,0.024232149124145508,1,1
800,0.018207311630249023,2,1
2048,0.025797605514526367,1,1
800,0.016286611557006836,2,1
2048,0.024710416793823242,1,1
800,0.02121257781982422,3,1
2048,0.03129267692565918,2,1
800,0.023628950119018555,3,1
2048,0.02286672592163086,1,1
800,0.020822763442993164,3,1
2048,0.022973060607910156,1,1
800,0.017891645431518555,2,1
2048,0.026196002960205078,1,1
800,0.017089366912841797,2,1
2048,0.024349451065063477,1,1
800,0.01685786247253418,2,1
2048,0.0239865779876709,1,1
800,0.0227053165435791,3,1
2048,0.023691177368164062,1,1
800,0.016298532485961914,2,1
2048,0.02307438850402832,1,1
800,0.0182187557220459,2,1
2048,0.026561498641967773,1,1
800,0.015674114227294922,1,1
2048,0.02598094940185547,1,1
800,0.017876148223876953,2,1
2048,0.027324438095092773,1,1
800,0.01743602752685547,3,1
2048,0.025342702865600586,1,1
800,0.01975226402282715,3,1
2048,0.029367923736572266,1,1
800,0.015880584716796875,1,1
800,0.014990568161010742,2,1
2048,0.02536797523498535,1,1
800,0.01449275016784668,2,1
2048,0.02438187599182129,1,1
800,0.019681215286254883,3,1
2048,0.02288198471069336,1,1
800,0.01661849021911621,2,1
2048,0.02660226821899414,1,1
800,0.01737213134765625,2,1
2048,0.02886223793029785,2,1
800,0.014802932739257812,2,1
2048,0.022924423217773438,1,1
800,0.01574993133544922,1,1
2048,0.023161649703979492,1,1
800,0.016913414001464844,2,1
2048,0.025352001190185547,1,1
800,0.019000768661499023,3,1
2048,0.025858163833618164,1,1
800,0.01818537712097168,2,1
2048,0.030979633331298828,2,1
800,0.017160415649414062,3,1
2048,0.026174545288085938,1,1
800,0.01937270164489746,2,1
800,0.017685890197753906,3,1
2048,0.02470707893371582,1,1
800,0.01900506019592285,3,1
2048,0.024414539337158203,1,1
800,0.018390178680419922,2,1
2048,0.024147510528564453,1,1
800,0.014626264572143555,2,1
2048,0.02275991439819336,1,1
800,0.017578840255737305,2,1
2048,0.025664806365966797,1,1
800,0.017343997955322266,2,1
2048,0.02901291847229004,2,1
800,0.01854085922241211,2,1
2048,0.02391815185546875,1,1
800,0.020338773727416992,3,1
2048,0.026003360748291016,1,1
800,0.015578508377075195,2,1
2048,0.02477288246154785,1,1
800,0.02072429656982422,3,1
2048,0.025908946990966797,1,1
800,0.016191482543945312,1,1
2048,0.03231024742126465,2,1
800,0.015882492065429688,2,1
2048,0.025571107864379883,1,1
800,0.02295088768005371,4,1
2048,0.024565458297729492,1,1
800,0.016644001007080078,2,1
2048,0.025644779205322266,1,1
800,0.018393993377685547,2,1
2048,0.02542877197265625,1,1
800,0.02342367172241211,4,1
2048,0.0263364315032959,1,1
800,0.01987171173095703,3,1
2048,0.026713848114013672,1,1
800,0.01734757423400879,2,1
2048,0.024656295776367188,1,1
800,0.019511938095092773,3,1
2048,0.023397445678710938,1,1
800,0.022196531295776367,3,1
2048,0.02339792251586914,1,1
800,0.012420415878295898,1,1
2048,0.02482771873474121,1,1
800,0.021394729614257812,3,1
2048,0.026150941848754883,1,1
800,0.014786958694458008,1,1
2048,0.0233001708984375,1,1
800,0.01206660270690918,1,1
2048,0.025969266891479492,1,1
800,0.016477108001708984,2,1
2048,0.024951457977294922,1,1
800,0.016832828521728516,2,1
2048,0.03069305419921875,2,1
800,0.020282983779907227,2,1
2048,0.026417255401611328,1,1
800,0.017975807189941406,2,1
2048,0.026253938674926758,1,1
800,0.014519453048706055,1,1
2048,0.02544879913330078,1,1
800,0.018537282943725586,3,1
2048,0.025717496871948242,1,1
800,0.018377065658569336,2,1
2048,0.02438807487487793,1,1
800,0.018945932388305664,2,1
2048,0.027026891708374023,1,1
800,0.0180206298828125,2,1
2048,0.024733781814575195,1,1
800,0.018262147903442383,2,1
2048,0.026588916778564453,1,1
2048,0.025231599807739258,1,1
2048,0.03054070472717285,2,1
2048,0.023996591567993164,1,1
2048,0.02328181266784668,1,1
2048,0.025281429290771484,1,1
2048,0.026476621627807617,1,1
2048,0.023598194122314453,1,1
2048,0.02641010284423828,1,1
4096,0.1049039363861084,7,1
4096,0.2540018558502197,20,1
4096,0.21440458297729492,17,1
4096,0.14875364303588867,10,1
4096,0.15857172012329102,11,1
4096,0.26616549491882324,21,1
4096,0.1136934757232666,7,1
1016,0.07456851005554199,6,1
4096,0.24973249435424805,19,1
1016,0.023389816284179688,3,1
4096,0.14156889915466309,10,1
1016,0.05237698554992676,7,1
4096,0.20039725303649902,14,1
1016,0.031823158264160156,6,1
4096,0.19586515426635742,15,1
1016,0.06450891494750977,6,1
4096,0.21179747581481934,16,1
1016,0.0305633544921875,5,1
4096,0.10773873329162598,7,1
1016,0.050122976303100586,6,1
4096,0.2715179920196533,21,1
1016,0.027611970901489258,5,1
4096,0.09817290306091309,6,1
1016,0.06216859817504883,4,1
4096,0.10173559188842773,6,1
1016,0.03071451187133789,6,1
1016,0.0373995304107666,6,1
4096,0.11678838729858398,8,1
1016,0.02848052978515625,5,1
4096,0.0728292465209961,4,1
1016,0.031223535537719727,5,1
4096,0.12136173248291016,8,1
1016,0.031097412109375,6,1
4096,0.11162090301513672,7,1
1016,0.0335845947265625,6,1
4096,0.19177985191345215,14,1
1016,0.0276186466217041,5,1
4096,0.10785055160522461,7,1
1016,0.0329740047454834,6,1
4096,0.28253173828125,20,1
1016,0.032460689544677734,4,1
4096,0.1532151699066162,11,1
1016,0.03207993507385254,4,1
4096,0.1049642562866211,7,1
1016,0.02417898178100586,4,1
1016,0.0312800407409668,6,1
4096,0.11945390701293945,7,1
1016,0.06884050369262695,4,1
4096,0.12555336952209473,8,1
1016,0.02677130699157715,4,1
4096,0.2500903606414795,19,1
1016,0.06415867805480957,8,1
4096,0.14003682136535645,9,1
1016,0.02844977378845215,5,1
4096,0.16579937934875488,12,1
1016,0.05053901672363281,4,1
4096,0.16710257530212402,12,1
1016,0.027452468872070312,4,1
4096,0.12425756454467773,8,1
1016,0.022167682647705078,2,1
4096,0.25353527069091797,19,1
1016,0.03175926208496094,5,1
1016,0.06301116943359375,4,1
4096,0.25659990310668945,19,1
1016,0.020786523818969727,3,1
4096,0.27457356452941895,21,1
1016,0.02722477912902832,4,1
4096,0.17519927024841309,11,1
1016,0.020947694778442383,2,1
4096,0.09564733505249023,6,1
1016,0.033032894134521484,6,1
4096,0.07986783981323242,4,1
1016,0.027644872665405273,4,1
4096,0.23958897590637207,19,1
1016,0.018035173416137695,2,1
4096,0.13500308990478516,9,1
1016,0.02379465103149414,3,1
1016,0.02594161033630371,4,1
4096,0.2908055782318115,22,1
1016,0.026095151901245117,4,1
4096,0.26601719856262207,22,1
1016,0.027989864349365234,5,1
4096,0.19927692413330078,14,1
1016,0.02650618553161621,5,1
4096,0.0935215950012207,6,1
1016,0.03391599655151367,6,1
4096,0.11918830871582031,7,1
1016,0.0340573787689209,7,1
4096,0.23259186744689941,17,1
1016,0.03362011909484863,6,1
4096,0.1644585132598877,12,1
1016,0.024524688720703125,4,1
1016,0.030103445053100586,5,1
4096,0.25559401512145996,19,1
1016,0.03145551681518555,6,1
4096,0.23317337036132812,18,1
1016,0.03043508529663086,6,1
4096,0.22873163223266602,18,1
1016,0.03066563606262207,6,1
4096,0.26681971549987793,21,1
1016,0.02808547019958496,5,1
4096,0.16254186630249023,11,1
1016,0.02611517906188965,4,1
1016,0.030076026916503906,4,1
4096,0.280836820602417,22,1
1016,0.02984333038330078,6,1
4096,0.09630203247070312,6,1
1016,0.024248600006103516,4,1
4096,0.11415624618530273,7,1
1016,0.028072357177734375,5,1
4096,0.10742068290710449,7,1
1016,0.03200173377990723,6,1
4096,0.23140740394592285,18,1
1016,0.023299694061279297,3,1
4096,0.26949286460876465,21,1
1016,0.035955190658569336,8,1
4096,0.2884838581085205,21,1
1016,0.032470703125,6,1
1016,0.022274255752563477,3,1
4096,0.24223756790161133,19,1
1016,0.029326915740966797,5,1
4096,0.11429405212402344,8,1
1016,0.024399995803833008,3,1
4096,0.21178364753723145,16,1
1016,0.030852556228637695,6,1
4096,0.17977070808410645,13,1
1016,0.032135009765625,6,1
4096,0.08996129035949707,5,1
1016,0.03199028968811035,6,1
4096,0.11381268501281738,7,1
1016,0.026118755340576172,5,1
4096,0.2220451831817627,16,1
1016,0.03525280952453613,7,1
1016,0.02198028564453125,3,1
4096,0.2352747917175293,18,1
4096,0.0941460132598877,6,1
1016,0.029100418090820312,5,1
1016,0.029497861862182617,6,1
4096,0.25011634826660156,18,1
200,0.009364843368530273,2,1
1016,0.03227829933166504,7,1
4096,0.07466483116149902,4,1
200,0.009896278381347656,3,1
1016,0.03190255165100098,7,1
4096,0.14783644676208496,10,1
200,0.010399103164672852,3,1
1016,0.0304868221282959,6,1
4096,0.27259016036987305,21,1
200,0.01111912727355957,3,1
1016,0.02894306182861328,6,1
200,0.010354042053222656,4,1
4096,0.17681431770324707,13,1
1016,0.030472993850708008,5,1
200,0.010692119598388672,4,1
4096,0.16559123992919922,11,1
1016,0.025655031204223633,4,1
200,0.012340545654296875,3,1
4096,0.11467123031616211,7,1
1016,0.022432804107666016,3,1
200,0.010410547256469727,4,1
4096,0.09540843963623047,6,1
1016,0.02658390998840332,5,1
200,0.014258861541748047,4,1
1016,0.029328107833862305,5,1
4096,0.2594337463378906,20,1
200,0.01223444938659668,3,1
1016,0.029555797576904297,5,1
4096,0.2086348533630371,16,1
200,0.013240814208984375,3,1
1016,0.03129720687866211,5,1
200,0.010013341903686523,2,1
4096,0.1953868865966797,15,1
1016,0.02418375015258789,4,1
200,0.01280355453491211,4,1
4096,0.24822354316711426,19,1
1016,0.026207447052001953,4,1
200,0.010607242584228516,3,1
4096,0.07410168647766113,4,1
200,0.010432720184326172,2,1
1016,0.030592918395996094,5,1
4096,0.10366368293762207,6,1
200,0.012918710708618164,4,1
1016,0.02979731559753418,5,1
200,0.009485960006713867,3,1
4096,0.25205230712890625,20,1
1016,0.03008413314819336,6,1
